,2009_100,2009_20,2009_11,2009_152,2009_130,2009_160,2009_40,2009_201,2009_60,2009_210,2009_220,2009_10,2009_81,2009_110,2009_61,2009_90,2009_150,2009_71,2009_121,2009_50,2009_82,2009_200,2009_190,2009_70,2009_30,2009_151,2009_120,2009_140
135,0.0,474.75793308791174,96754.50531445851,0.0,0.0,13672.859201437988,507604.61406117165,0.0,0.0,0.0,0.0,38360.29552089775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059653.7482780542,0.0,0.0,0.0,0.0,876774.8589748768,0.0,0.0,0.0
136,4223.109493834093,13703.97722751435,2035870.089061534,0.0,1239.235300702836,2175291.6200484755,60058967.51336922,0.0,0.0,0.0,0.0,1748355.9266566823,0.0,54510.55712572752,0.0,0.0,12674.27666829473,0.0,0.0,67050419.42622869,0.0,0.0,0.0,0.0,81861901.91542138,0.0,807.113192697121,0.0
137,0.0,49968.53028593586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.377015931329,0.0,0.0,0.0,0.0,303.7181446989596,0.0,0.0,0.0,0.0,492.6048535210624,0.0,0.0,0.0,0.0,0.0,0.0
138,21460257.977568932,12226129.889139494,4068034.919563271,0.0,27440858.060398266,0.0,129883190.16881491,13470.164495542129,311631950.7282354,0.0,0.0,10177491.515315924,0.0,42289444.37312867,195129015.46111557,6254.889166760924,62948.99569443474,0.0,1161687.3855157895,194576480.65368137,0.0,339729.824394901,0.0,601881440.5997041,57761634.92022353,0.0,1821307.4466701348,0.0
139,7647722.373477091,6724854.3974835565,938280.6029692267,0.0,57036750.07836913,2460.1690455280673,76047126.24774222,1164.8936668957365,51289186.185061336,0.0,0.0,7358742.354761514,14537.294933289595,47707123.74847197,6282632.925643097,82624.504281814,276225.8960996779,18868.6103686278,0.0,5977478.170118912,0.0,3279374.417998776,0.0,189239071.88752842,44123697.25140413,0.0,1394545.1956894365,0.0
140,34409639.78051366,2575973.680574431,381991.1917282244,0.0,4003563.5013976987,0.0,58760030.03574723,0.0,35486614.470856346,0.0,0.0,10862019.466979535,0.0,3011174.62167222,4674851.448562894,0.0,2584.8083825759786,0.0,6918478.528420003,349173892.18142927,0.0,155747.67696483494,0.0,87363345.47831285,55774527.52905989,0.0,936331.2622485359,0.0
141,5406457.34687741,4537438.501725801,15466274.971465841,0.0,15265654.660047,0.0,12261950.13186346,14549.546639687069,43877275.50988204,0.0,0.0,4058943.4657264357,0.0,1033522.7429269886,0.0,39344.551848789066,11554291.040689977,0.0,0.0,0.0,0.0,18883908.905817784,0.0,496170.41345742554,7272046.306718065,0.0,140125284.88762996,0.0
142,108956069.42711511,4294949.953261423,4718446.526118685,0.0,80232.12784414657,0.0,30187418.11427908,0.0,6989183.385759966,0.0,0.0,14231729.708263397,0.0,107040.62805737038,151354.4086102809,0.0,32056.441922541,0.0,60303614.692706585,281526944.32001716,0.0,3166.3324424086427,0.0,65277067.14791923,103121858.27796663,0.0,2224947.7542363624,0.0
143,6847700.1700595915,35411.503071139094,31336.727495703602,0.0,4629685.90206542,0.0,8873943.593036165,6889.27337311738,16737895.34224964,0.0,0.0,183573.56266650907,0.0,11867645.657974783,10060220.607892511,10931.202137142578,25852.805395375286,0.0,1457771.5875335494,256389209.7644238,0.0,4875.203428359329,0.0,256295855.91943026,3506758.483714726,0.0,1077827.2601503206,0.0
144,131028149.39374913,84644669.62981012,1808936.2869522073,0.0,1637958.5407550363,0.0,29451506.180552203,0.0,43835441.13741857,0.0,0.0,14942026.2100508,0.0,385544.7929033934,73283.88703149161,0.0,8254.998718152587,0.0,31060497.028778035,83063727.79485686,0.0,43356.26007612284,0.0,9418557.705178065,30239559.28841871,0.0,3092913.270469869,0.0
145,3903499.8182443306,909590.2028411011,473696.56299527537,0.0,30661325.66804927,0.0,19751596.13648495,227.78700823519486,3958722.9305453226,0.0,0.0,1610284.739554247,0.0,14657608.145443004,89086.15498245406,0.0,395480.08876819385,3785.4916495117186,0.0,126446.4298907127,0.0,1048326.1084758472,0.0,38501788.80679252,9368018.274070168,0.0,2791888.0276056575,0.0
146,2085.9222512888455,375402.79836057575,2603828.6508165305,0.0,0.0,0.0,20497.278533480978,240463.59231635014,117577.92401566995,0.0,0.0,69923.3312094074,0.0,0.0,4424.5233130332035,0.0,7898789.071911384,0.0,0.0,0.0,0.0,56743861.150079615,0.0,0.0,69473.06231068881,0.0,4079674.6219368917,0.0
147,0.0,166.23048598548422,154155.69688793848,0.0,0.0,0.0,14160.607298078705,2546.694092239029,0.0,0.0,0.0,135125.85730356773,0.0,0.0,0.0,0.0,43306.936994622556,0.0,0.0,0.0,0.0,3274319.644586028,0.0,0.0,516862.1965314977,0.0,145318.87496983295,0.0
148,2852519.3858548384,889.4161148460408,145786.06498483592,0.0,1037.9250854590084,0.0,3856129.9349504192,32.49333994671104,0.0,0.0,0.0,1997643.308164654,0.0,0.0,0.0,0.0,238312.3311845601,0.0,0.0,0.0,0.0,237295.10105918674,0.0,0.0,2720990.6429176545,0.0,62336.74740297608,0.0
149,1799201.6810669785,16867.259996921297,950859.9812695418,0.0,9774.394746481097,0.0,7258566.425794645,521.3415038617381,164366.63818696685,0.0,0.0,3599064.551428002,0.0,9212.08779571904,0.0,0.0,190389.68186428092,0.0,0.0,0.0,0.0,99060.73575740453,0.0,1238119.3221630708,3916515.3945626253,0.0,13987612.246578304,0.0
150,0.0,69752.95614201005,192025.79130030985,0.0,0.0,0.0,0.0,981.5777530565684,0.0,0.0,0.0,86.10379928614489,0.0,0.0,0.0,0.0,59355.78754768302,0.0,0.0,0.0,0.0,2083245.4669274108,0.0,0.0,49087.62858783052,0.0,186049.16368306972,0.0
151,0.0,0.0,175.9037356884163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5406590.939091884,0.0,0.0,0.0,0.0,0.0,0.0
152,337776300.1687958,45272164.66208625,38704889.04897618,0.0,52523009.926746085,0.0,333168693.5606544,265765.8574518804,302511913.86622155,0.0,0.0,54333801.12469793,0.0,14784330.812604869,4509.513177249711,14639321.764725676,12076166.26973687,0.0,0.0,0.0,0.0,899180.0408621498,0.0,148523112.14386564,137994387.58821145,0.0,14243764.623381212,0.0
153,978210.8136267101,81173.24200925553,520622.998677628,32661.88668405062,310696.4372682808,0.0,502524.3477667113,45900.631054681144,10692.746328708336,0.0,0.0,108031.40616608404,0.0,207763.56774214417,0.0,0.0,118141.66016358309,0.0,0.0,0.0,0.0,5324545.654069905,0.0,0.0,104223.82355040972,0.0,20093609.60903149,0.0
154,1846526.7868330437,115907.08425845334,22102482.55086969,0.0,2018599.580414509,0.0,53523053.86645733,186525.98604351046,131673.15110078972,0.0,0.0,62022324.33838588,0.0,248202.41384074828,0.0,124288.98344321971,1426019.9611445928,0.0,0.0,0.0,0.0,65166436.26965504,0.0,254370.67559478764,24785618.33360406,0.0,10128393.237208577,0.0
155,261471.21010813725,1727.1829118303917,562219.8663942524,0.0,20658.438946823397,0.0,1659383.8952620279,26667.874072654005,2559.012382483652,0.0,0.0,4459914.683035289,0.0,625.7493004742478,0.0,0.0,170857.05821729757,0.0,0.0,0.0,0.0,16159970.505705643,0.0,0.0,2481822.948844742,0.0,20368.266823059414,0.0
156,15781293.125352448,1768131.2768251311,18264942.67705368,0.0,87175.88269850574,0.0,36808252.21100944,28485.735165011156,1886729.7206258106,0.0,0.0,29686172.144278146,0.0,1738257.6773206145,0.0,0.0,1756121.0811020494,0.0,0.0,0.0,0.0,23605131.17130441,0.0,2745187.5167906163,16474295.170185018,0.0,1503750.9936717497,0.0
157,4459593.260051176,74657.292883007,645419.5805212987,0.0,9045.485784144435,0.0,10019244.168527482,4363.361797771822,147237.17698710953,0.0,0.0,3140655.9384294376,0.0,625.0984545028211,0.0,0.0,157511.78449884706,0.0,0.0,0.0,0.0,2365876.6952490327,0.0,118197.29917276028,8256355.801490215,0.0,197858.06135348848,0.0
158,20611752.01447926,1094180.8124783433,3713115.4650876126,0.0,5559453.324952693,4018.6646109245276,29664249.633417424,77514.45129705544,344791652.9266836,0.0,0.0,7580397.441830827,4409.9952439577555,1753886.9966666664,563972.9533427671,29766313.808804665,205255.89661675037,2213.845690056183,0.0,0.0,0.0,151551.93651982458,0.0,44185792.06334835,33947931.30732555,0.0,4099075.1707059746,0.0
159,10143670.41407649,127591.83873655887,258781.1575227732,0.0,44570.86494346258,0.0,7142460.95961416,1048.7975470446568,9735.622380242477,0.0,0.0,1535574.1860283404,0.0,50532.90521325651,0.0,0.0,472601.69057000434,0.0,0.0,0.0,0.0,132654.76058588186,0.0,15164770.9738011,4484675.913661256,0.0,2265036.603318572,0.0
160,0.0,0.0,14020.395961147642,0.0,0.0,0.0,0.0,359.77156380958235,0.0,0.0,0.0,512.879793847174,0.0,0.0,0.0,0.0,8830.298202343896,0.0,0.0,0.0,0.0,76991.48109074906,0.0,0.0,0.0,0.0,5715.878698941478,0.0
161,12503852.731521001,293031.7191368871,17169896.963723563,0.0,3736130.3002924854,0.0,38584142.45986571,35748.785574047484,61039269.885933466,0.0,0.0,18500901.72234688,0.0,1358115.9952399249,79442.32268639913,237670.75193060443,2866229.5922321677,0.0,0.0,0.0,0.0,783926.3422418877,0.0,7590736.1025758395,11064130.505854325,0.0,11404366.339507816,0.0
162,24585015.464004457,1346311.5708250005,1758699.0293059286,0.0,3892736.9055331745,0.0,67516717.07589704,10511.044474976756,26444018.77306739,0.0,0.0,3713462.3595713475,0.0,189108.58595433008,15280.405167910158,151660.43500781248,218737.56664971888,0.0,0.0,0.0,0.0,68801.1854280859,0.0,1550239.5361774557,7041992.766370799,0.0,4464512.975873753,0.0
163,0.0,4653.152452320844,2521738.6724424083,0.0,0.0,0.0,10799.11463040162,18528.917345678947,0.0,0.0,0.0,9957.31833356819,0.0,0.0,0.0,0.0,1275567.3230141208,0.0,0.0,0.0,0.0,12455117.766010927,0.0,0.0,0.0,0.0,228044.86668132243,0.0
164,100802.92537431311,0.0,2382797.923258997,0.0,98279.92057048921,9081.41804261849,33507.887782455735,0.0,6714834.952759002,0.0,0.0,25529893.91855714,0.0,429.6577832744141,27426.34924346627,64752.90677377996,1101.7342386161024,518.5815010196277,0.0,0.0,0.0,0.0,0.0,121947.19150846901,937319.9698693054,0.0,0.0,0.0
165,1913664.2727342865,118327.1039356776,40411004.12900578,0.0,5952358.386325322,0.0,209742.96792441173,1801.2403197990934,39504510.772807874,0.0,0.0,19359800.163230654,0.0,2194.403088892253,15528.764858447146,2595866.237414287,7127.2498922813575,0.0,0.0,0.0,0.0,324.45647163073886,0.0,2048375.6165655388,3466933.9380302327,0.0,0.0,0.0
166,0.0,0.0,1631.7852235067035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2236.0039507171105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,12802435.380389811,413023.7757798912,32296024.35757549,0.0,14841016.011939025,0.0,986691.6427257796,2592.9626059881853,207601171.5196546,0.0,0.0,85879096.59658957,0.0,3888707.1374695795,2667362.496590066,102693413.90639512,35421.83471207986,0.0,0.0,0.0,0.0,8796.97806996268,0.0,146867141.2503281,10704450.504499672,0.0,0.0,0.0
168,2146626.982154539,0.0,27080786.276133686,0.0,7575588.234574121,18409.69927508594,1022904.2109066066,1947.891971523534,32496607.011298202,0.0,0.0,203741927.00846305,0.0,244445.72455469012,129947.16106273542,2805939.150781424,98994.3118887213,310.06064080343367,0.0,0.0,0.0,40105.956823728935,0.0,19791327.796124473,6799886.154500235,0.0,639.2186010515908,0.0
169,10065339.686390081,0.0,20024308.194034252,48.76891856901042,3087257.6273143333,5034704.284114292,1483048.0498948842,58.65585731741899,60927032.4093683,0.0,0.0,73079846.26213063,0.0,6172.812126633138,3812809.806275629,53940982.45299528,4163.195437581381,8238.92626713103,0.0,0.0,0.0,104.43327411405286,0.0,97843956.01242252,20773685.45893217,0.0,0.0,0.0
170,14156690.898978427,0.0,26049908.67905322,0.0,5308345.1551116295,0.0,774491.7243367742,476.9466574218268,14775026.334350588,0.0,0.0,6347910.568602004,0.0,311548.43757093686,112105.94479211004,30582637.07604008,22050.88458116298,0.0,0.0,0.0,0.0,208.1131305969811,0.0,123850477.1642346,17475380.412108928,0.0,0.0,0.0
