GID,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
64,Saint Kitts and Nevis,2446439.41203879,2728829.15939974,2731206.54915233,2731759.06074323,2725359.63817376,2726494.06606217,2728764.31129431,2726332.08288209,2727439.18303763,2711486.73559194,2713176.40583689,2703655.31005576,2688586.23579751,2650181.71961726,2647186.87276731,2649528.08709492,2640111.47039841,2637481.34636766,,
65,Montserrat (U.K.),1028846.96627955,1111147.19765488,1168392.86276576,1166616.09971759,1168484.51932964,1153166.04040107,1164266.85329036,1156124.46861687,1130462.83805673,1101505.3333213,1160415.41279006,1138170.92808081,1152752.00879285,1160743.69376505,1161808.28590631,1149578.98559782,1157074.17655977,1164294.6384944,,
66,Turks and Caicos Islands (U.K.),4460404.52905313,4449622.61277031,4462389.89302228,4467484.15376801,4456129.79343619,4456686.90330886,4452725.39873983,4435016.24380439,4418823.41585841,4317170.73957117,4235638.32989953,4257102.50100263,4320224.81357191,4294690.71084102,4277676.042966,4282337.42749093,4264167.63664277,4293948.21576715,,
67,Trinidad and Tobago,76010628.0296217,75940225.5847791,76544105.6789763,76523019.5774964,76434943.9056463,76408811.7480661,76183267.4588332,76208156.5416486,76064846.3171356,75415930.7995815,75673240.8160191,75566612.4369027,75768279.9423747,75503305.4657367,75474868.5219511,75146986.9453755,75124292.2834953,75082871.0808664,,
68,The Bahamas,105915305.365581,105769715.718508,106381074.753282,105849554.877153,106818198.534787,107057763.797894,107162017.858429,106023049.797879,106860195.740738,102553015.138503,100541281.53682,99475775.6708275,101066714.312138,102615502.141734,102208653.737064,101334930.461084,99366044.9561975,102088325.821976,,
69,Saint Lucia,8774931.26331983,8886009.68069208,8902580.26824995,8901398.29915145,8900216.91071903,8890740.47675849,8869451.83548206,8896625.99523227,8886035.71575756,8891370.13176561,8869594.47050742,8856899.17910488,8866329.72637316,8857263.44245002,8855446.71593798,8846259.22055525,8846259.22055525,8846259.22055525,,
70,Navassa Island (U.S.),947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,947.529170444637,,
71,British Virgin Islands (U.K.),1131211.46086878,1122114.07414093,1126059.44543589,1122648.91144464,1113517.45392413,1103176.18927318,1112271.44395767,1107155.58918445,1103744.28401773,1071093.74287671,1048423.42946913,1027126.14935912,1024298.09547,1012858.05664944,992103.05261713,994378.029471484,992103.05261713,994378.029471484,,
72,Barbados,1582668.39331273,1574227.26761288,1573060.86669356,1570645.59734344,1567304.14122231,1555335.99257743,1547718.01410908,1541220.20143565,1534315.27113886,1525439.93433234,1512520.77896404,1509243.13121841,1508482.77882403,1498153.86471059,1488852.53960656,1488852.53960656,1488232.26731821,1488232.26731821,,
73,Anguilla (U.K.),195094.296991422,195094.296991422,194525.303658472,194525.303658472,194525.303658472,194525.303658472,194525.303658472,194525.303658472,194525.303658472,193243.005692981,190985.107461449,183883.076198686,190966.220414485,190930.08540715,190930.08540715,190930.08540715,190930.08540715,190930.08540715,,
74,Haiti,146081596.975574,146277987.246744,146268543.473077,146249392.727365,145823511.101477,145425306.16122,145501178.796364,145088767.150085,144869225.48017,143660499.952813,143608836.942843,142926198.061723,142848464.452837,141705010.505268,141605257.474263,141260813.397249,140986051.655562,140852687.224991,,
